location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
2816762,"Lawrence Hall of Science","pm25",3.24,"µg/m³","2024-04-27T04:29:54Z","2024-04-26T21:29:54-07:00","America/Los_Angeles",37.8792,-122.24652,,,,"Clarity","Clarity"
2816762,"Lawrence Hall of Science","pm25",3.26,"µg/m³","2024-04-28T12:39:26Z","2024-04-28T05:39:26-07:00","America/Los_Angeles",37.8792,-122.24652,,,,"Clarity","Clarity"
2816762,"Lawrence Hall of Science","pm25",3.44,"µg/m³","2024-04-29T06:24:02Z","2024-04-28T23:24:02-07:00","America/Los_Angeles",37.8792,-122.24652,,,,"Clarity","Clarity"
2816762,"Lawrence Hall of Science","pm25",3.58,"µg/m³","2024-04-29T07:16:25Z","2024-04-29T00:16:25-07:00","America/Los_Angeles",37.8792,-122.24652,,,,"Clarity","Clarity"
2816762,"Lawrence Hall of Science","pm25",3.46,"µg/m³","2024-04-29T15:02:26Z","2024-04-29T08:02:26-07:00","America/Los_Angeles",37.8792,-122.24652,,,,"Clarity","Clarity"
2816762,"Lawrence Hall of Science","pm25",3.75,"µg/m³","2024-04-29T15:39:39Z","2024-04-29T08:39:39-07:00","America/Los_Angeles",37.8792,-122.24652,,,,"Clarity","Clarity"
2816762,"Lawrence Hall of Science","pm25",3.98,"µg/m³","2024-04-30T06:22:36Z","2024-04-29T23:22:36-07:00","America/Los_Angeles",37.8792,-122.24652,,,,"Clarity","Clarity"
2816762,"Lawrence Hall of Science","pm25",3.83,"µg/m³","2024-04-30T11:08:02Z","2024-04-30T04:08:02-07:00","America/Los_Angeles",37.8792,-122.24652,,,,"Clarity","Clarity"
2816762,"Lawrence Hall of Science","pm25",4.06,"µg/m³","2024-05-01T04:13:27Z","2024-04-30T21:13:27-07:00","America/Los_Angeles",37.8792,-122.24652,,,,"Clarity","Clarity"
2816762,"Lawrence Hall of Science","pm25",4.23,"µg/m³","2024-05-01T07:05:46Z","2024-05-01T00:05:46-07:00","America/Los_Angeles",37.8792,-122.24652,,,,"Clarity","Clarity"
2816762,"Lawrence Hall of Science","pm25",5.51,"µg/m³","2024-05-01T16:42:57Z","2024-05-01T09:42:57-07:00","America/Los_Angeles",37.8792,-122.24652,,,,"Clarity","Clarity"
2816762,"Lawrence Hall of Science","pm25",5.51,"µg/m³","2024-05-01T21:15:34Z","2024-05-01T14:15:34-07:00","America/Los_Angeles",37.8792,-122.24652,,,,"Clarity","Clarity"
2816762,"Lawrence Hall of Science","pm25",5.75,"µg/m³","2024-05-02T01:17:05Z","2024-05-01T18:17:05-07:00","America/Los_Angeles",37.8792,-122.24652,,,,"Clarity","Clarity"
2816762,"Lawrence Hall of Science","pm25",4.54,"µg/m³","2024-05-02T19:17:21Z","2024-05-02T12:17:21-07:00","America/Los_Angeles",37.8792,-122.24652,,,,"Clarity","Clarity"
2816762,"Lawrence Hall of Science","pm25",4.66,"µg/m³","2024-05-02T23:30:20Z","2024-05-02T16:30:20-07:00","America/Los_Angeles",37.8792,-122.24652,,,,"Clarity","Clarity"
2816762,"Lawrence Hall of Science","pm25",3.51,"µg/m³","2024-05-03T03:56:58Z","2024-05-02T20:56:58-07:00","America/Los_Angeles",37.8792,-122.24652,,,,"Clarity","Clarity"
2816762,"Lawrence Hall of Science","pm25",3.5,"µg/m³","2024-05-03T07:17:49Z","2024-05-03T00:17:49-07:00","America/Los_Angeles",37.8792,-122.24652,,,,"Clarity","Clarity"
