location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
3409046,"D","pm25",6.02,"µg/m³","2025-02-19T07:00:53Z","2025-02-18T23:00:53-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",5.22,"µg/m³","2025-02-19T08:11:42Z","2025-02-19T00:11:42-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",5.29,"µg/m³","2025-02-19T08:29:22Z","2025-02-19T00:29:22-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",5,"µg/m³","2025-02-19T08:47:03Z","2025-02-19T00:47:03-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",4.69,"µg/m³","2025-02-19T09:04:44Z","2025-02-19T01:04:44-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",5.49,"µg/m³","2025-02-19T10:15:29Z","2025-02-19T02:15:29-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",5.43,"µg/m³","2025-02-19T10:33:13Z","2025-02-19T02:33:13-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",5.66,"µg/m³","2025-02-19T10:50:53Z","2025-02-19T02:50:53-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",5.14,"µg/m³","2025-02-19T11:08:34Z","2025-02-19T03:08:34-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",5.59,"µg/m³","2025-02-19T11:26:15Z","2025-02-19T03:26:15-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",6.51,"µg/m³","2025-02-19T11:43:55Z","2025-02-19T03:43:55-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",5.54,"µg/m³","2025-02-19T12:01:36Z","2025-02-19T04:01:36-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",5.65,"µg/m³","2025-02-19T12:19:19Z","2025-02-19T04:19:19-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",6.46,"µg/m³","2025-02-19T12:37:03Z","2025-02-19T04:37:03-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",5.74,"µg/m³","2025-02-19T12:54:43Z","2025-02-19T04:54:43-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",6.8,"µg/m³","2025-02-19T13:12:27Z","2025-02-19T05:12:27-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",6.85,"µg/m³","2025-02-19T13:30:07Z","2025-02-19T05:30:07-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",5.77,"µg/m³","2025-02-19T13:47:50Z","2025-02-19T05:47:50-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",6.58,"µg/m³","2025-02-19T14:05:34Z","2025-02-19T06:05:34-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",6.08,"µg/m³","2025-02-19T16:09:27Z","2025-02-19T08:09:27-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",5.85,"µg/m³","2025-02-19T16:27:10Z","2025-02-19T08:27:10-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",6.61,"µg/m³","2025-02-19T16:44:52Z","2025-02-19T08:44:52-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",5.65,"µg/m³","2025-02-19T17:02:35Z","2025-02-19T09:02:35-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",6,"µg/m³","2025-02-19T17:20:17Z","2025-02-19T09:20:17-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",6.16,"µg/m³","2025-02-19T17:37:57Z","2025-02-19T09:37:57-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",6.72,"µg/m³","2025-02-19T17:55:39Z","2025-02-19T09:55:39-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",6.41,"µg/m³","2025-02-19T18:13:21Z","2025-02-19T10:13:21-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",6.14,"µg/m³","2025-02-19T18:31:01Z","2025-02-19T10:31:01-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",6.78,"µg/m³","2025-02-19T18:48:43Z","2025-02-19T10:48:43-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",5.84,"µg/m³","2025-02-19T19:06:26Z","2025-02-19T11:06:26-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",6.73,"µg/m³","2025-02-19T22:03:26Z","2025-02-19T14:03:26-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",7.77,"µg/m³","2025-02-19T22:21:05Z","2025-02-19T14:21:05-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",6.6,"µg/m³","2025-02-19T22:38:48Z","2025-02-19T14:38:48-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",6.63,"µg/m³","2025-02-19T22:56:28Z","2025-02-19T14:56:28-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",8.66,"µg/m³","2025-02-20T01:00:20Z","2025-02-19T17:00:20-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",8.38,"µg/m³","2025-02-20T01:18:03Z","2025-02-19T17:18:03-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",7.44,"µg/m³","2025-02-20T01:35:44Z","2025-02-19T17:35:44-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",7.91,"µg/m³","2025-02-20T01:53:26Z","2025-02-19T17:53:26-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",9.17,"µg/m³","2025-02-20T02:11:09Z","2025-02-19T18:11:09-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",9.07,"µg/m³","2025-02-20T02:28:53Z","2025-02-19T18:28:53-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",8.91,"µg/m³","2025-02-20T02:46:36Z","2025-02-19T18:46:36-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",10.57,"µg/m³","2025-02-20T03:04:19Z","2025-02-19T19:04:19-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",10.27,"µg/m³","2025-02-20T03:22:02Z","2025-02-19T19:22:02-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",9.46,"µg/m³","2025-02-20T03:39:45Z","2025-02-19T19:39:45-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",9.23,"µg/m³","2025-02-20T03:57:29Z","2025-02-19T19:57:29-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",10.35,"µg/m³","2025-02-20T06:01:26Z","2025-02-19T22:01:26-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",10.04,"µg/m³","2025-02-20T06:19:10Z","2025-02-19T22:19:10-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",9.02,"µg/m³","2025-02-20T06:36:50Z","2025-02-19T22:36:50-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",10.34,"µg/m³","2025-02-20T06:54:31Z","2025-02-19T22:54:31-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",10.9,"µg/m³","2025-02-20T07:12:15Z","2025-02-19T23:12:15-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",10.18,"µg/m³","2025-02-20T07:29:55Z","2025-02-19T23:29:55-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
